,,,,,,,,,
,2026,2026,2026,2027,2027,2027,2028,2028,2028
Location,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total
Indonesia,"$10,298,555",$0,"$10,298,555","$130,908",$0,"$130,908","$118,627",$0,"$118,627"
"Iran, Islamic Republic of","$1,822,559",$0,"$1,822,559","$278,623",$0,"$278,623",$0,$0,$0
Iraq,"$14,074,032",$0,"$14,074,032","$3,355,494",$0,"$3,355,494",$0,$0,$0
Ireland,$0,$0,$0,$0,$0,$0,$0,$0,$0
Italy,$0,$0,$0,$0,$0,$0,$0,$0,$0
Jamaica,"$553,517",$0,"$553,517","$87,168",$0,"$87,168",$0,$0,$0
Japan,$0,$0,$0,$0,$0,$0,$0,$0,$0
Jersey,$0,$0,$0,$0,$0,$0,$0,$0,$0
Jordan,"$14,819,924",$0,"$14,819,924","$3,744,116",$0,"$3,744,116","$236,969",$0,"$236,969"
Kazakhstan,$0,$0,$0,$0,$0,$0,$0,$0,$0
Kenya,"$10,949,945",$0,"$10,949,945","$3,139,557",$0,"$3,139,557","$1,197,605",$0,"$1,197,605"
"Korea, Democratic People's Republic of","$1,855,469",$0,"$1,855,469","$4,308,383",$0,"$4,308,383",$0,$0,$0
"Korea, Republic of",$0,$0,$0,$0,$0,$0,$0,$0,$0
Kuwait,$0,$0,$0,$0,$0,$0,$0,$0,$0
Kyrgyzstan,"$141,449",$0,"$141,449","$86,695",$0,"$86,695","$109,735",$0,"$109,735"
Lao People's Democratic Republic,$0,$0,$0,$0,$0,$0,$0,$0,$0
Lebanon,"$41,395,226",$0,"$41,395,226","$7,715,361",$0,"$7,715,361","$1,326,800",$0,"$1,326,800"
Lesotho,"$495,444",$0,"$495,444","$204,965",$0,"$204,965",$0,$0,$0
Liberia,"$227,316",$0,"$227,316",$0,$0,$0,$0,$0,$0
Libya,"$3,707,080",$0,"$3,707,080","$1,296,073",$0,"$1,296,073",$0,$0,$0
Luxembourg,$0,$0,$0,$0,$0,$0,$0,$0,$0
Madagascar,"$9,567,081",$0,"$9,567,081","$604,402",$0,"$604,402",$0,$0,$0
Malawi,"$2,813,586",$0,"$2,813,586","$363,406",$0,"$363,406",$0,$0,$0
Malaysia,"$130,539",$0,"$130,539",$0,$0,$0,$0,$0,$0
